,function,operator,best,mean,std
0,Sphere,4DE_0123,2.0234037988098677e-48,6.888047853004249e-36,1.969354404179772e-35
1,Sphere,3DE_012,1.4366005131769363e-46,1.1067573448687637e-30,3.320272033840834e-30
2,Sphere,3DE_013,5.891988135465982e-17,1.9605991230518767e-11,5.473639491802321e-11
3,Sphere,3DE_023,1.125096070408395e-53,6.409192250838204e-44,1.916917323425898e-43
4,Sphere,3DE_123,6.656228683948956e-59,4.3518411275420224e-41,1.3055447399191276e-40
5,Sphere,2DE_01,0.005112763867818735,0.023400684685304443,0.01976520850800114
6,Sphere,2DE_02,5.261710039689898e-72,6.2578616908533915e-55,1.8659728390192176e-54
7,Sphere,2DE_03,6.599266185100486e-21,9.131205060837176e-19,1.675813751761542e-18
8,Sphere,2DE_12,8.624194212363483e-69,1.0480983223299666e-57,3.129907521989194e-57
9,Sphere,2DE_13,2.0287750508184674e-19,9.60520116752084e-14,2.5030520313613874e-13
10,Sphere,2DE_23,3.3224815616967964e-77,3.8314200655481835e-69,1.108712248051926e-68
11,Sphere,1DE_0,8.626152274783613e-06,1.6971169830462177e-05,7.692401559417085e-06
12,Sphere,1DE_1,8.3725684978773,17.08405214393694,7.865678748888374
13,Sphere,1DE_2,2.5403387350473808e-109,2.296288963827828e-107,3.811288252293631e-107
14,Sphere,1DE_3,7.549133472255978e-34,5.607870654936008e-33,4.148418282515757e-33
15,HighCondElliptic,4DE_0123,5.903935658979586e-44,9.741429821032126e-40,2.4784517724043577e-39
16,HighCondElliptic,3DE_012,1.5533199572387667e-50,4.467316092029056e-30,1.3401947992615377e-29
17,HighCondElliptic,3DE_013,2.1389129112628465e-15,2.760701497435451e-12,7.86848948762073e-12
18,HighCondElliptic,3DE_023,2.8616642297760915e-62,2.2848834601612166e-46,6.8420444476990144e-46
19,HighCondElliptic,3DE_123,4.932827783350972e-53,8.109721195929947e-45,2.428300261315454e-44
20,HighCondElliptic,2DE_01,0.0007449132050822252,0.00576198733973741,0.006350123417004094
21,HighCondElliptic,2DE_02,5.102016932719876e-66,2.1769135996960846e-54,4.3631448834016485e-54
22,HighCondElliptic,2DE_03,3.198362988231288e-22,2.9374822222235995e-19,4.8847879063474505e-19
23,HighCondElliptic,2DE_12,3.4359161052574495e-74,1.1915055017537721e-52,2.8161927267696842e-52
24,HighCondElliptic,2DE_13,6.74242402359468e-18,5.893841500182316e-16,1.2107193447727917e-15
25,HighCondElliptic,2DE_23,4.634755754366279e-79,6.638553859281725e-69,1.984367110056901e-68
26,HighCondElliptic,1DE_0,1.2569040735355762e-06,3.4373603715916036e-06,1.66341121858797e-06
27,HighCondElliptic,1DE_1,0.8808484372193184,1.7602394454955834,0.5459867318396062
28,HighCondElliptic,1DE_2,6.93399488907497e-108,1.982631605637568e-105,3.987046374407459e-105
29,HighCondElliptic,1DE_3,2.4041898088931043e-33,1.1677100538126186e-32,1.113653985144796e-32
30,BentCigar,4DE_0123,3.026510555699869e-42,1.3538934402627847e-25,4.055276236598977e-25
31,BentCigar,3DE_012,1.0569590811213374e-43,1.835154222087416e-33,5.501674019123087e-33
32,BentCigar,3DE_013,3.610227414197524e-10,1.6340951823803365e-06,3.938649868521611e-06
33,BentCigar,3DE_023,2.750508935057624e-54,3.2815969628768935e-40,9.813231667161964e-40
34,BentCigar,3DE_123,1.2674190899004218e-52,7.275416911142819e-37,2.1826189786813485e-36
35,BentCigar,2DE_01,2624.095400666727,4646.969945135622,1004.713229715344
36,BentCigar,2DE_02,1.9564885751326058e-69,3.425919960191266e-55,9.37794305887603e-55
37,BentCigar,2DE_03,1.1511509341774996e-16,2.0366447707627387e-13,3.9321522624718544e-13
38,BentCigar,2DE_12,4.5383959977757085e-66,5.735812295608548e-46,1.71827967290997e-45
39,BentCigar,2DE_13,2.1221178497196056e-15,3.71728497512153e-10,1.002951310428583e-09
40,BentCigar,2DE_23,3.850812323239495e-74,1.840768990323448e-65,5.352159377944862e-65
41,BentCigar,1DE_0,2.471728656034728,5.080422787261474,1.577884586431187
42,BentCigar,1DE_1,2187347.8191004284,6180550.770372559,3017217.439971688
