,function,operator,best,mean,std
0,Sphere,4DE_0123,1.3276523423651796e-71,1.747073596255692e-69,3.680158325708786e-69
1,Sphere,3DE_012,2.534799150922163e-64,2.027802882786732e-36,6.083406582781685e-36
2,Sphere,3DE_013,1.9958295858185598e-21,4.9336502026358315e-20,4.9863544501043874e-20
3,Sphere,3DE_023,9.907249531669497e-88,2.0334154532945917e-85,3.992940234892495e-85
4,Sphere,3DE_123,4.205118948508046e-81,5.388132538775168e-59,1.616438986334099e-58
5,Sphere,2DE_01,9.889650360907358e-11,8.37688564624084e-10,7.157467391910292e-10
6,Sphere,2DE_02,2.7132692921743965e-96,9.84160610842219e-95,1.5068415662764776e-94
7,Sphere,2DE_03,4.724285646706118e-26,2.117068298074974e-21,1.4950178697903671e-21
8,Sphere,2DE_12,1.6910043268181364e-65,3.0268899455927604e-64,3.9273824526151595e-64
9,Sphere,2DE_13,6.4851334968379205e-24,4.244459580879979e-22,5.50194794706355e-22
10,Sphere,2DE_23,6.453103942170515e-98,6.94398226448238e-95,1.099079737843398e-94
11,Sphere,1DE_0,6.603834387542489e-06,1.4969564407349e-05,5.337075019662811e-06
12,Sphere,1DE_1,11.175270479896248,17.630327331262556,6.165730470473259
13,Sphere,1DE_2,1.3011176973884499e-108,6.797271973486866e-108,4.126809195302152e-108
14,Sphere,1DE_3,1.8029132056113566e-33,6.708091102020006e-33,3.744270289730122e-33
15,HighCondElliptic,4DE_0123,1.6582396617886202e-71,5.490389768558106e-70,5.274509711808102e-70
16,HighCondElliptic,3DE_012,2.585462163827454e-65,9.028647800495232e-42,2.7085943309737053e-41
17,HighCondElliptic,3DE_013,5.201708713665959e-21,5.1428692076276894e-20,3.507477333131768e-20
18,HighCondElliptic,3DE_023,2.3794835597562606e-86,1.4111586985078563e-84,1.6335713410730162e-84
19,HighCondElliptic,3DE_123,3.854402434272658e-84,1.7167205408848308e-70,5.140906790803413e-70
20,HighCondElliptic,2DE_01,1.3596435314944415e-10,4.023342870310093e-10,2.3810391643167257e-10
21,HighCondElliptic,2DE_02,1.6743694932388445e-96,1.4811756451831535e-93,2.6641264438002583e-93
22,HighCondElliptic,2DE_03,2.7758887799470574e-22,1.5687062110502056e-21,1.8151310996024612e-21
23,HighCondElliptic,2DE_12,2.205933341650749e-67,1.0423162684692383e-63,2.805047418272312e-63
24,HighCondElliptic,2DE_13,9.596888649061462e-25,1.0453788310029704e-22,2.9717781702159717e-22
25,HighCondElliptic,2DE_23,5.969278805123742e-97,1.7872683536783606e-94,2.7220099607144906e-94
26,HighCondElliptic,1DE_0,2.5279119107749324e-06,4.040751789988084e-06,1.694980266364941e-06
27,HighCondElliptic,1DE_1,0.7919583083443972,1.6485527190102431,0.44473281060750697
28,HighCondElliptic,1DE_2,6.832844312643356e-108,1.4633821409333485e-103,4.24688730113796e-103
29,HighCondElliptic,1DE_3,1.94318677848895e-33,5.117010076788568e-33,2.2074070992233176e-33
30,BentCigar,4DE_0123,4.559760002668479e-66,2.410275785829984e-64,3.4461630299279e-64
31,BentCigar,3DE_012,2.625549190504645e-54,2.6321920456366054e-33,7.896118672380596e-33
32,BentCigar,3DE_013,7.282200442064976e-16,2.8589320709007877e-14,3.485156882145006e-14
33,BentCigar,3DE_023,2.745202851093496e-82,2.4135440485080213e-80,3.281967763706389e-80
34,BentCigar,3DE_123,1.016853110149431e-79,1.9848944356889376e-58,5.954683272290407e-58
35,BentCigar,2DE_01,0.00019822862386440192,0.00048175391827115055,0.00036705176914268576
36,BentCigar,2DE_02,2.4083865814414303e-90,1.6913145760114562e-88,2.3985575075557514e-88
37,BentCigar,2DE_03,2.0563882324341075e-16,1.3871788300228038e-15,1.5804326665906245e-15
38,BentCigar,2DE_12,5.355040913829834e-60,2.2860639299579885e-58,2.5120765485589566e-58
39,BentCigar,2DE_13,1.5401629720612504e-18,4.833181457678317e-16,7.026371043969785e-16
40,BentCigar,2DE_23,2.6602731745168633e-91,4.946440822685257e-88,1.455117065756218e-87
41,BentCigar,1DE_0,2.2633031877641696,5.414941016302536,2.057522679794885
42,BentCigar,1DE_1,3307649.3122740174,6619626.659074167,2190935.771441978
43,BentCigar,1DE_2,2.553068922886634e-102,3.359511944451255e-101,6.039939649196016e-101
44,BentCigar,1DE_3,9.822652354761758e-28,3.842967853642386e-27,3.0474159092302226e-27
45,Discus,4DE_0123,5.128192382391608e-75,1.7500545162796528e-71,4.486808064671367e-71
46,Discus,3DE_012,1.2978251986455188e-67,2.49326221408137e-47,7.373175052950647e-47
47,Discus,3DE_013,7.576372845455607e-24,2.3157658494349876e-22,2.697417452572475e-22
48,Discus,3DE_023,3.773568857969383e-90,4.6070119937353095e-88,9.926688465356775e-88
49,Discus,3DE_123,5.59296932492886e-83,2.297868159213993e-74,6.893436346158958e-74
50,Discus,2DE_01,9.15838100316096e-13,3.2753610183320144e-12,2.1234530588477427e-12
51,Discus,2DE_02,9.295722968045775e-99,4.256296501190922e-97,4.73788309206936e-97
52,Discus,2DE_03,2.4450625970753372e-24,9.113055491158045e-24,5.277068143043889e-24
53,Discus,2DE_12,5.568256131944182e-70,3.377203070049794e-68,3.3337389352004308e-68
54,Discus,2DE_13,7.254321506912792e-27,2.4526529373990465e-26,1.7796710138148606e-26
55,Discus,2DE_23,1.0838566558324295e-98,1.0207224840852278e-96,1.8143678533800884e-96
56,Discus,1DE_0,8.526477063690955e-09,4.7721248507231546e-08,2.2749149504167412e-08
57,Discus,1DE_1,0.028933547865312007,0.04529098658678206,0.009380103648754716
58,Discus,1DE_2,5.008940318178049e-111,6.890715264117169e-110,1.015003840466285e-109
59,Discus,1DE_3,5.8952795675530255e-36,2.575648966404371e-35,1.6359264605964556e-35
60,Rosenbrock,4DE_0123,2.4264383092274567e-14,0.3986623854515125,1.195987156285898
61,Rosenbrock,3DE_012,1.8349836236527126e-15,0.3986623855790885,1.1959871567334395
62,Rosenbrock,3DE_013,3.3459637534347,5.920304890637967,1.2575827709771181
63,Rosenbrock,3DE_023,1.8803249121906932e-18,1.7457516635151465e-13,3.493703491115614e-13
64,Rosenbrock,3DE_123,1.4793468624966687e-17,0.39866238543558274,1.19598715628845
65,Rosenbrock,2DE_01,15.740892862870087,16.968628112916402,0.8406716883452033
66,Rosenbrock,2DE_02,4.8753439461476437e-20,0.7973247712031025,1.5946495415491813
67,Rosenbrock,2DE_03,2.5983721879837907,4.719325688093226,0.9535417127171619
68,Rosenbrock,2DE_12,9.366481338563649e-18,3.4205082947553943e-15,3.960069217222092e-15
69,Rosenbrock,2DE_13,0.9192117663957439,2.132717552529487,0.881147548750758
70,Rosenbrock,2DE_23,6.4818011382910144e-18,0.7973247709486606,1.5946495416761375
71,Rosenbrock,1DE_0,27.48139027290862,30.992754464406648,5.940804991928378
72,Rosenbrock,1DE_1,124116.45538626357,274268.2072645853,169625.83390247833
73,Rosenbrock,1DE_2,0.0,1.1959871727510039,1.826900580199057
74,Rosenbrock,1DE_3,0.09899238716918311,0.3701734951546039,0.3056648437322845
75,Ackley,4DE_0123,3.552713678800501e-15,3.552713678800501e-15,0.0
76,Ackley,3DE_012,3.552713678800501e-15,3.552713678800501e-15,0.0
77,Ackley,3DE_013,2.419398015263141e-12,9.447020943298412e-12,7.688341057889172e-12
78,Ackley,3DE_023,3.552713678800501e-15,3.552713678800501e-15,0.0
79,Ackley,3DE_123,3.552713678800501e-15,3.552713678800501e-15,0.0
80,Ackley,2DE_01,3.6220749422000154e-07,1.4761953877950872e-06,8.276277442814025e-07
81,Ackley,2DE_02,3.552713678800501e-15,3.552713678800501e-15,0.0
82,Ackley,2DE_03,2.028599510595086e-12,3.5051073155045743e-12,1.5752775718890999e-12
83,Ackley,2DE_12,3.552713678800501e-15,3.552713678800501e-15,0.0
84,Ackley,2DE_13,1.3500311979441904e-13,3.694822225952521e-13,2.2532720660735284e-13
85,Ackley,2DE_23,3.552713678800501e-15,3.552713678800501e-15,0.0
86,Ackley,1DE_0,0.00017631866974809896,0.0002167223061302792,3.039980131198154e-05
87,Ackley,1DE_1,0.49247801516995793,0.8126503738132378,0.2732882605051385
88,Ackley,1DE_2,3.552713678800501e-15,3.552713678800501e-15,0.0
89,Ackley,1DE_3,3.552713678800501e-15,4.618527782440651e-15,1.6280579355608322e-15
90,Weierstrass,4DE_0123,-59.999942779540994,-59.99994277954092,3.43714720612747e-14
91,Weierstrass,3DE_012,-59.99994277954098,-59.99994277954092,2.8153995055161757e-14
92,Weierstrass,3DE_013,-59.999942779540994,-59.99994277954094,4.209628412922548e-14
93,Weierstrass,3DE_023,-59.999942779540994,-59.99994277954096,2.4613922385709617e-14
94,Weierstrass,3DE_123,-59.99994277954091,-59.99994277954089,3.105323768211883e-14
95,Weierstrass,2DE_01,-59.99994277954099,-59.99994277954092,3.865770426254881e-14
96,Weierstrass,2DE_02,-59.999942779541,-59.99994277954096,3.8065466117071973e-14
97,Weierstrass,2DE_03,-59.99994277954101,-59.999942779541,8.407255028117242e-15
98,Weierstrass,2DE_12,-59.999942779540895,-59.99994277954086,2.0957999714358698e-14
99,Weierstrass,2DE_13,-59.999942779540916,-59.99994277954088,2.7056661287843684e-14
100,Weierstrass,2DE_23,-59.99994277954091,-59.99994277954086,2.9468255538244704e-14
101,Weierstrass,1DE_0,-59.99994277954101,-59.999942779541,6.740800259667266e-15
102,Weierstrass,1DE_1,-59.99994277954092,-59.99994277954088,2.6963201038669063e-14
103,Weierstrass,1DE_2,-59.99994277954091,-59.99994277954083,4.013151410175322e-14
104,Weierstrass,1DE_3,-59.999942779540994,-59.999942779540866,5.039346213634742e-14
105,Griewank,4DE_0123,0.0,0.0007396040334114895,0.0022188121002344684
106,Griewank,3DE_012,0.0,0.0012320988875106575,0.003696296662531973
107,Griewank,3DE_013,0.0,0.0009864672061006053,0.002959401618301816
108,Griewank,3DE_023,0.0,0.001479208066822979,0.0029584161336459578
109,Griewank,3DE_123,0.0,0.0031998723433143915,0.006607784606522777
110,Griewank,2DE_01,5.97732974227938e-12,0.0007396040720279218,0.0022188121216281
111,Griewank,2DE_02,0.0,0.0019717029209221472,0.004094289381573133
112,Griewank,2DE_03,0.0,0.0,0.0
113,Griewank,2DE_12,0.0,0.0017253324941935654,0.0034942774690661376
114,Griewank,2DE_13,0.0,0.0,0.0
115,Griewank,2DE_23,0.0,0.0007396040334114895,0.0022188121002344684
116,Griewank,1DE_0,5.057337134628526e-07,3.068837914402822e-05,7.04837102057864e-05
117,Griewank,1DE_1,0.578521621549532,0.8263766853324215,0.1114821127863304
118,Griewank,1DE_2,0.0,0.0022188121002344684,0.0033892914674027988
119,Griewank,1DE_3,0.0,0.0,0.0
120,Rastrigin,4DE_0123,14.924380818580289,31.61953821916402,10.289215682732632
121,Rastrigin,3DE_012,21.88908414259521,31.078693898012055,4.823890084210791
122,Rastrigin,3DE_013,17.017158097655965,25.162531418063942,6.334074704236122
123,Rastrigin,3DE_023,16.646814892684517,30.780447476942534,23.122121839978515
124,Rastrigin,3DE_123,7.959672456746375,19.799671753513405,9.823904711915183
125,Rastrigin,2DE_01,18.72028089873436,25.53250226860512,6.471953395232472
126,Rastrigin,2DE_02,18.97909935567384,30.16669754442062,19.813887120287465
127,Rastrigin,2DE_03,9.949590570933026,16.8164577434572,3.9894002272982516
128,Rastrigin,2DE_12,22.88402804079317,34.25814048326296,11.41621766024018
129,Rastrigin,2DE_13,19.899173701845427,65.12067314574873,57.614714374213015
130,Rastrigin,2DE_23,10.944549628026266,24.077984977407034,9.837500135590476
131,Rastrigin,1DE_0,181.89696130753472,196.70111350696624,10.942276165069597
132,Rastrigin,1DE_1,217.24465266272802,247.47112866022607,13.54030803699402
133,Rastrigin,1DE_2,12.934462704393695,39.541966026020155,33.76903226961611
134,Rastrigin,1DE_3,148.7475080456978,161.59681986773361,8.39033333321668
135,ModSchwefel,4DE_0123,0.0,0.0,0.0
136,ModSchwefel,3DE_012,0.0,0.0,0.0
137,ModSchwefel,3DE_013,0.0,0.0,0.0
138,ModSchwefel,3DE_023,0.0,0.0,0.0
139,ModSchwefel,3DE_123,0.0,0.0,0.0
140,ModSchwefel,2DE_01,1.0913936421275139e-11,9.531504474580288e-11,1.364853096255864e-10
141,ModSchwefel,2DE_02,0.0,0.0,0.0
142,ModSchwefel,2DE_03,0.0,0.0,0.0
143,ModSchwefel,2DE_12,0.0,0.0,0.0
144,ModSchwefel,2DE_13,0.0,0.0,0.0
145,ModSchwefel,2DE_23,0.0,0.0,0.0
146,ModSchwefel,1DE_0,7.387316145468503e-07,1.968797005247325e-06,1.3745496663363886e-06
147,ModSchwefel,1DE_1,1.1069486556516495,2.5427848457127764,1.3188564954399873
148,ModSchwefel,1DE_2,0.0,0.0,0.0
149,ModSchwefel,1DE_3,0.0,0.0,0.0
150,Katsuura,4DE_0123,0.0,0.0,0.0
