,substrates,function,best,mean,std
0,Sphere,DE-Ensemble,0.0,3.778368523986069e-51,7.788631261162078e-51
1,HighCondElliptic,DE-Ensemble,0.0,1.117090399544621e-48,2.6389648525913572e-48
2,BentCigar,DE-Ensemble,0.0,9.412954164069941e-44,1.267445301895571e-43
3,Discus,DE-Ensemble,0.0,2.738526764066565e-52,4.804388498330721e-52
4,Rosenbrock,DE-Ensemble,0.03258372138234612,0.3887026269016848,0.4213374655251605
5,Ackley,DE-Ensemble,3.552713678800501e-15,3.907985046680551e-15,1.0658141036401502e-15
6,Weierstrass,DE-Ensemble,-59.99994277954098,-59.999942779540916,3.793260195561498e-14
7,Griewank,DE-Ensemble,0.0,0.0024622334193827645,0.005392779233843883
8,Rastrigin,DE-Ensemble,5.969754342559781,12.13849898519245,4.239971459640137
9,ModSchwefel,DE-Ensemble,0.0,0.0,0.0
10,Katsuura,DE-Ensemble,0.0,0.0,0.0
11,HappyCat,DE-Ensemble,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
12,HGBat,DE-Ensemble,0.498952309646117,0.49942827848053506,0.00021152912056472236
13,ExpandedGriewankPlusRosenbrock,DE-Ensemble,220041531.90815616,220041532.49080592,0.6050218097026223
14,ExpandedShafferF6,DE-Ensemble,0.34725018784426936,0.34725018784426936,0.0
