,substrates,function,best,mean,std
0,Sphere,DE-Ensemble,1.684146590122343e-48,3.2428506475443286e-47,5.928240870711565e-47
1,HighCondElliptic,DE-Ensemble,0.0,1.6308423209695287e-45,1.993718560954868e-45
2,BentCigar,DE-Ensemble,8.756019337900134e-42,1.60215632831094e-39,3.9357936499575536e-39
3,Discus,DE-Ensemble,0.0,3.399703075141974e-49,4.465548051291117e-49
4,Rosenbrock,DE-Ensemble,0.03271726111761446,0.9691274111681741,1.278365694009869
5,Ackley,DE-Ensemble,3.552713678800501e-15,3.907985046680551e-15,1.0658141036401502e-15
6,Weierstrass,DE-Ensemble,-59.99994277954098,-59.999942779540916,3.9752310188701374e-14
7,Griewank,DE-Ensemble,0.0,0.001479208066822979,0.0029584161336459578
8,Rastrigin,DE-Ensemble,3.9798362283731876,9.651101846241158,4.450702337259296
9,ModSchwefel,DE-Ensemble,0.0,0.0,0.0
10,Katsuura,DE-Ensemble,-3.7882347783282224e+137,-3.7866435279223485e+137,1.4310528884341374e+134
11,HappyCat,DE-Ensemble,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
12,HGBat,DE-Ensemble,0.4989759770593792,0.49945393798223997,0.0002558419041767844
13,ExpandedGriewankPlusRosenbrock,DE-Ensemble,220041532.10038358,220041532.91178918,1.3342889055512435
14,ExpandedShafferF6,DE-Ensemble,0.34725018784426936,0.34725018784426936,0.0
